timestamp,match,frame,x1,y1,x2,y2,img_w,img_h,user
2026-03-20T17:29:05.119717,unknown,match14_non_rally_003926.jpg,855.379909304074,405.8979090699865,868.5799093040739,417.29790906998653,1280,720,anon
2026-03-20T17:31:56.191558,unknown,match9_non_rally_009736.jpg,False,,,,,1280,720,anon
2026-03-20T17:32:14.799216,unknown,match16_non_rally_001524.jpg,False,,,,,1280,720,anon
2026-03-20T17:32:26.887149,unknown,match9_rally_010044.jpg,False,,,,,1280,720,anon
2026-03-20T17:32:50.294779,unknown,match15_rally_002837.jpg,True,702.7843588559687,159.60219752427798,718.5843588559686,174.80219752427797,1280,720,anon
2026-03-20T17:33:32.006304,unknown,match14_non_rally_003123.jpg,True,509.5185814573082,375.6929429514013,518.3185814573083,383.89294295140127,1280,720,anon
2026-03-20T17:33:41.678118,unknown,match2_non_rally_010585.jpg,True,791.6381200903959,332.25025759152214,811.8381200903959,351.45025759152213,1280,720,anon
2026-03-20T17:33:46.406311,unknown,match8_rally_004396.jpg,True,864.747575199693,290.2038048896761,887.347575199693,312.6038048896761,1280,720,anon
2026-03-20T17:34:01.978399,unknown,match7_non_rally_005609.jpg,False,,,,,1280,720,anon
2026-03-20T17:34:05.785799,unknown,match16_non_rally_001573.jpg,False,,,,,1280,720,anon
2026-03-20T17:34:15.646476,unknown,match8_rally_004156.jpg,True,728.9961614643807,54.08850536299177,752.5961614643808,80.28850536299177,1280,720,anon
2026-03-20T17:34:18.662772,unknown,match15_non_rally_002543.jpg,False,,,,,1280,720,anon
2026-03-20T17:34:29.694947,unknown,match14_rally_003421.jpg,True,730.4737500265322,61.32686375241319,743.4737500265322,74.7268637524132,1280,720,anon
2026-03-20T17:34:42.862666,unknown,match16_rally_001275.jpg,True,738.5798787005473,270.41747821908564,756.3798787005474,286.01747821908566,1280,720,anon
2026-03-20T17:34:55.751279,unknown,match14_non_rally_003842.jpg,False,,,,,1280,720,anon
2026-03-20T17:34:58.502920,unknown,match2_non_rally_010870.jpg,False,,,,,1280,720,anon
2026-03-20T17:35:11.647531,unknown,match9_rally_009107.jpg,True,419.50996539007076,308.8121733261493,405.50996539007076,323.21217332614935,1280,720,anon
2026-03-20T17:35:17.046362,unknown,match7_rally_005532.jpg,True,744.7716507963501,251.27536323564556,728.7716507963501,267.27536323564556,1280,720,anon
2026-03-20T17:35:25.646741,unknown,match2_rally_010463.jpg,True,593.8608232224958,223.86700720556664,610.8608232224958,239.66700720556665,1280,720,anon
2026-03-20T17:35:29.559317,unknown,match1_non_rally_000796.jpg,False,,,,,1920,1080,anon
2026-03-20T17:35:40.358860,unknown,match15_non_rally_002445.jpg,True,494.4502785767425,351.70890633446095,485.4502785767425,361.3089063344609,1280,720,anon
2026-03-20T17:37:35.879098,unknown,match1_non_rally_000918.jpg,True,836.3431553968883,762.6349613086354,864.3467070668561,784.4913918803177,1920,1080,anon
2026-03-20T17:37:41.478744,unknown,match9_rally_009312.jpg,True,655.2036007798715,239.8742432699973,638.4036007798716,254.47424326999732,1280,720,anon
2026-03-20T17:37:46.327134,unknown,match16_non_rally_001467.jpg,False,,,,,1280,720,anon
2026-03-20T17:37:53.743461,unknown,match2_rally_010802.jpg,True,633.5126097171888,176.1330673719628,622.7126097171888,188.33306737196278,1280,720,anon
2026-03-20T17:38:04.438873,unknown,match1_non_rally_000054.jpg,True,1145.0390558110096,128.6903609422795,1172.2390558110096,156.49036094227952,1920,1080,anon
2026-03-20T17:38:11.078580,unknown,match16_rally_001714.jpg,True,701.7491557860237,247.6839345375456,716.9491557860238,264.6839345375456,1280,720,anon
2026-03-20T17:38:19.566406,unknown,match8_non_rally_004496.jpg,False,,,,,1280,720,anon
2026-03-20T17:38:26.110004,unknown,match14_rally_003867.jpg,True,539.3543485035045,198.59010850278065,553.5543485035045,212.79010850278064,1280,720,anon
2026-03-20T17:38:37.567381,unknown,match9_non_rally_009658.jpg,True,779.8269821980317,478.64267962785914,794.8269821980317,492.64267962785914,1280,720,anon
2026-03-20T17:38:42.542712,unknown,match16_non_rally_001706.jpg,True,728.2199302990994,441.6376003319448,745.0199302990993,458.23760033194475,1280,720,anon
2026-03-20T17:39:16.687074,unknown,match1_rally_000480.jpg,True,903.738116834205,459.1964796311304,923.138116834205,477.9964796311304,1920,1080,anon
2026-03-20T17:39:22.550379,unknown,match15_rally_002388.jpg,True,879.4730492477196,212.07090112163382,891.4730492477196,224.2709011216338,1280,720,anon
2026-03-20T17:39:30.798698,unknown,match10_non_rally_011042.jpg,False,,,,,1280,720,anon
2026-03-20T17:39:35.823349,unknown,match9_rally_009368.jpg,True,667.8052581727006,362.0885897656095,682.2052581727006,376.4885897656095,1280,720,anon
2026-03-20T17:39:42.886217,unknown,match14_rally_003877.jpg,True,864.9978096848214,264.67545978355867,881.1978096848213,279.87545978355865,1280,720,anon
2026-03-20T17:39:47.006693,unknown,match9_rally_009574.jpg,True,487.73016394585864,165.52037749132333,505.13016394585867,181.92037749132334,1280,720,anon
2026-03-20T17:40:01.014609,unknown,match2_rally_010395.jpg,True,835.176158317413,408.0698638578553,856.776158317413,431.0698638578553,1280,720,anon
2026-03-20T17:40:08.950406,unknown,match1_rally_000259.jpg,True,1043.336755082447,341.2252182849215,1073.936755082447,376.0252182849215,1920,1080,anon
2026-03-20T17:40:15.199167,unknown,match8_non_rally_004543.jpg,True,647.7688009339145,357.13388827809393,656.9688009339145,366.93388827809395,1280,720,anon
2026-03-20T17:40:19.975098,unknown,match16_non_rally_001292.jpg,False,,,,,1280,720,anon
2026-03-20T17:40:21.638293,unknown,match8_non_rally_004986.jpg,False,,,,,1280,720,anon
2026-03-20T17:40:33.158475,unknown,match10_non_rally_011746.jpg,True,1062.7743599737041,295.7517122740417,1096.7743599737041,328.7517122740417,1280,720,anon
2026-03-20T17:40:51.566735,unknown,match15_non_rally_002082.jpg,True,1006.5338250982957,418.39947538715285,1044.7338250982957,455.39947538715285,1280,720,anon
2026-03-20T17:40:54.751395,unknown,match14_non_rally_003431.jpg,False,,,,,1280,720,anon
2026-03-20T17:41:04.599565,unknown,match2_rally_010845.jpg,True,600.1439077514449,375.1068276305464,610.943907751445,382.50682763054635,1280,720,anon
2026-03-20T17:41:15.046003,unknown,match8_rally_004893.jpg,True,715.1747888681691,217.56117553269777,729.7747888681691,233.36117553269779,1280,720,anon
2026-03-20T17:41:25.966804,unknown,match10_rally_011249.jpg,True,424.58761394589635,234.17432416530647,442.58761394589635,252.37432416530646,1280,720,anon
2026-03-20T17:41:33.902944,unknown,match14_rally_003983.jpg,True,649.5617554719141,371.82543355559676,659.7617554719142,383.22543355559674,1280,720,anon
2026-03-20T17:41:37.166606,unknown,match1_non_rally_000923.jpg,False,,,,,1920,1080,anon
2026-03-20T17:41:44.071630,unknown,match15_rally_002337.jpg,True,751.3720678130444,99.67179337340333,769.7720678130444,118.07179337340332,1280,720,anon
2026-03-20T17:41:50.814686,unknown,match9_rally_009786.jpg,True,562.0447708874208,429.13162000007753,575.6447708874208,442.9316200000775,1280,720,anon
2026-03-20T17:42:05.758521,unknown,match10_rally_011743.jpg,True,670.9656490969489,5.455784222676609,690.835131434842,-1.3743503309740943,1280,720,anon
2026-03-20T17:42:13.686184,unknown,match9_rally_009747.jpg,True,746.7963864386759,221.3907071189698,760.1963864386759,234.19070711896978,1280,720,anon
2026-03-20T17:42:16.638573,unknown,match7_non_rally_005990.jpg,False,,,,,1280,720,anon
2026-03-20T17:42:25.926959,unknown,match10_rally_011385.jpg,True,838.9630492934806,255.09985482803478,858.3630492934806,275.69985482803474,1280,720,anon
2026-03-20T17:42:29.407120,unknown,match16_non_rally_001315.jpg,False,,,,,1280,720,anon
2026-03-20T17:42:36.677787,unknown,match9_non_rally_009921.jpg,True,621.8046652889874,371.7577285290765,629.6046652889875,380.5577285290765,1280,720,anon
2026-03-20T17:42:43.063051,unknown,match8_rally_004742.jpg,True,908.6688014873922,166.9165264650149,927.8688014873921,184.31652646501487,1280,720,anon
2026-03-20T17:42:55.431165,unknown,match14_rally_003339.jpg,True,575.5263655052647,134.23984985544524,590.9263655052648,149.23984985544524,1280,720,anon
2026-03-20T17:42:59.839689,unknown,match10_rally_011655.jpg,True,513.6023046444501,469.5492721563384,532.536039458193,493.48847709325474,1280,720,anon
2026-03-20T17:43:04.470691,unknown,match2_rally_010435.jpg,True,731.1795189758632,389.72664457516765,746.5795189758632,404.3266445751677,1280,720,anon
2026-03-20T17:43:12.238752,unknown,match15_rally_002145.jpg,True,797.5401400280774,255.75350236944786,815.7401400280775,271.55350236944787,1280,720,anon
2026-03-20T17:43:18.446879,unknown,match16_rally_001250.jpg,True,369.63626711874895,169.97220191060794,389.63626711874895,188.77220191060795,1280,720,anon
2026-03-20T17:43:25.094745,unknown,match1_rally_000143.jpg,True,1124.565554862968,282.00383087651636,1145.9655548629678,302.40383087651634,1920,1080,anon
2026-03-20T17:43:29.518512,unknown,match2_rally_010181.jpg,True,453.0656660203276,352.4534490106742,474.4656660203276,372.6534490106742,1280,720,anon
2026-03-20T17:43:34.174437,unknown,match10_rally_012019.jpg,True,681.707728053525,129.14627262105174,700.907728053525,146.34627262105172,1280,720,anon
2026-03-20T17:43:48.726416,unknown,match9_non_rally_009991.jpg,True,-1.2400340716464175,530.9139617546334,63.373038805889244,592.5217754285628,1280,720,anon
2026-03-20T17:43:53.013974,unknown,match16_rally_001022.jpg,True,581.9180271057701,146.3770079451922,598.1180271057701,161.7770079451922,1280,720,anon
2026-03-20T17:44:03.118325,unknown,match1_non_rally_000359.jpg,True,0.34827761181595634,525.2854834276566,11.948277611815957,559.4854834276566,1920,1080,anon
2026-03-20T17:44:07.367183,unknown,match8_non_rally_004640.jpg,False,,,,,1280,720,anon
2026-03-20T17:44:12.870500,unknown,match8_rally_004487.jpg,True,573.2243851182909,248.91347364107915,600.8243851182908,280.9134736410791,1280,720,anon
2026-03-20T17:44:15.870698,unknown,match7_rally_005772.jpg,True,491.65636784011815,340.316984081476,507.0563678401181,354.116984081476,1280,720,anon
2026-03-20T17:44:18.654259,unknown,match8_rally_004603.jpg,True,678.3386654457958,213.14318733299578,692.3386654457958,226.14318733299578,1280,720,anon
2026-03-20T17:44:23.670463,unknown,match16_non_rally_001902.jpg,False,,,,,1280,720,anon
2026-03-20T17:44:27.518593,unknown,match15_non_rally_002268.jpg,True,550.7839236389834,404.72764045328074,559.1839236389835,397.9276404532808,1280,720,anon
2026-03-20T17:44:32.350495,unknown,match15_rally_002460.jpg,True,865.2523882562589,76.66519490701643,889.8523882562589,101.46519490701642,1280,720,anon
2026-03-20T17:44:36.478790,unknown,match7_rally_005408.jpg,True,652.4646385164533,266.95199617030966,662.0646385164533,276.75199617030967,1280,720,anon
2026-03-20T17:44:40.534339,unknown,match2_rally_010175.jpg,True,702.5153998825674,330.52102140627204,718.1153998825673,346.921021406272,1280,720,anon
2026-03-20T17:44:47.295065,unknown,match8_rally_004272.jpg,True,609.9378544080562,151.66801220140724,626.7378544080563,167.86801220140723,1280,720,anon
